,nominal,BDC
2014-01-02,157.26,172
2014-01-03,157.26,172
2014-01-06,157.28,172
2014-01-07,157.28,172
2014-01-08,157.28,172
2014-01-09,157.28,172
2014-01-10,157.28,172
2014-01-13,157.28,173
2014-01-15,157.3,173
2014-01-16,157.3,173
2014-01-17,157.3,173
2014-01-20,157.3,174
2014-01-21,157.3,174
2014-01-22,157.31,174
2014-01-23,157.31,174
2014-01-24,157.31,174
2014-01-27,157.31,168
2014-01-28,157.31,168
2014-01-29,157.31,168
2014-01-30,157.31,168
2014-01-31,157.31,168
2014-02-03,157.31,169
2014-02-04,157.31,169
2014-02-05,157.31,169
2014-02-06,157.31,168
2014-02-07,157.31,168
2014-02-10,157.31,168
2014-02-11,157.31,168
2014-02-12,157.31,168
2014-02-13,157.31,168
2014-02-14,157.31,169
2014-02-17,157.31,170
2014-02-18,157.31,170
2014-02-19,157.31,170
2014-02-20,157.31,170
2014-02-21,157.31,170
2014-02-24,157.31,171
2014-02-25,157.31,171
2014-02-26,157.31,171
2014-02-27,157.31,171
2014-02-28,157.31,171
2014-03-03,157.31,171
2014-03-04,157.31,171
2014-03-05,157.31,171
2014-03-06,157.31,171
2014-03-07,157.31,171
2014-03-10,157.31,171
2014-03-11,157.31,171
2014-03-12,157.3,171
2014-03-13,157.3,171
2014-03-14,157.3,171
2014-03-17,157.3,172
2014-03-18,157.3,172
2014-03-19,157.3,172
2014-03-20,157.3,172
2014-03-21,157.3,172
2014-03-24,157.3,172
2014-03-25,157.3,172
2014-03-26,157.3,172
2014-03-27,157.3,172
2014-03-28,157.3,172
2014-03-31,157.3,172
2014-04-01,157.3,172
2014-04-02,157.3,171
2014-04-03,157.3,171
2014-04-04,157.3,171
2014-04-07,157.3,171
2014-04-08,157.3,171
2014-04-09,157.3,171
2014-04-10,157.3,171
2014-04-11,157.3,171
2014-04-14,157.29,171
2014-04-15,157.29,171
2014-04-16,157.29,171
2014-04-17,157.29,171
2014-04-22,157.29,170
2014-04-23,157.29,170
2014-04-24,157.29,170
2014-04-25,157.29,170
2014-04-28,157.29,167
2014-04-29,157.29,167
2014-04-30,157.29,167
2014-05-02,157.29,167
2014-05-05,157.29,167
2014-05-06,157.29,167
2014-05-07,157.29,167
2014-05-08,157.29,167
2014-05-09,157.29,167
2014-05-12,157.29,166
2014-05-13,157.29,166
2014-05-14,157.29,166
2014-05-15,157.29,167
2014-05-16,157.29,167
2014-05-19,157.29,167
2014-05-20,157.29,167
2014-05-21,157.29,167
2014-05-22,157.29,167
2014-05-23,157.29,167
2014-05-26,157.29,167
2014-05-27,157.29,167
2014-05-28,157.29,167
2014-05-30,157.29,167
2014-06-02,157.29,167
2014-06-03,157.29,167
2014-06-04,157.29,167
2014-06-05,157.29,167
2014-06-06,157.29,167
2014-06-09,157.29,167
2014-06-10,157.29,167
2014-06-11,157.29,167
2014-06-12,157.29,167
2014-06-13,157.29,167
2014-06-16,157.29,167
2014-06-17,157.29,167
2014-06-18,157.29,167
2014-06-19,157.29,167
2014-06-20,157.29,167
2014-06-23,157.29,166
2014-06-24,157.29,167
2014-06-25,157.29,168
2014-06-26,157.29,168.5
2014-06-27,157.29,168
2014-06-30,157.29,168
2014-07-01,157.29,168
2014-07-02,157.29,168
2014-07-03,157.29,168
2014-07-04,157.29,168
2014-07-07,157.29,168
2014-07-08,157.29,168
2014-07-09,157.29,168
2014-07-10,157.29,168
2014-07-11,157.29,168
2014-07-14,157.29,168
2014-07-15,157.29,168
2014-07-16,157.29,168
2014-07-17,157.29,168
2014-07-18,157.29,168
2014-07-21,157.29,168
2014-07-22,157.29,167
2014-07-23,157.29,167
2014-07-24,157.29,167
2014-07-25,157.29,167
2014-07-30,157.29,167
2014-07-31,157.29,167
2014-08-01,157.29,167
2014-08-04,157.29,167
2014-08-05,157.29,167.5
2014-08-06,157.29,168
2014-08-07,157.29,169
2014-08-08,157.29,171
2014-08-11,157.29,172
2014-08-12,157.29,172
2014-08-13,157.29,172
2014-08-14,157.29,172
2014-08-15,157.29,173
2014-08-18,157.29,172
2014-08-19,157.29,172
2014-08-20,157.29,172
2014-08-21,157.29,172
2014-08-22,157.29,172
2014-08-25,157.29,171
2014-08-26,157.29,169
2014-08-27,157.29,169
2014-08-28,157.29,169
2014-08-29,157.29,169
2014-09-01,157.29,168
2014-09-02,157.29,168
2014-09-03,157.29,168
2014-09-04,157.29,168
2014-09-05,157.29,168
2014-09-08,157.3,168
2014-09-09,157.3,168
2014-09-10,157.3,168
2014-09-11,157.3,169
2014-09-12,157.3,169
2014-09-15,157.31,169
2014-09-16,157.31,169
2014-09-17,157.31,169
2014-09-18,157.31,169
2014-09-19,157.31,169
2014-09-22,157.31,169
2014-09-23,157.31,169
2014-09-24,157.31,169
2014-09-25,157.31,169
2014-09-26,157.31,169
2014-09-29,157.31,169
2014-09-30,157.31,169
2014-10-02,157.31,169
2014-10-03,157.31,168
2014-10-08,157.31,168
2014-10-09,157.31,168
2014-10-10,157.31,168
2014-10-13,157.31,169
2014-10-14,157.31,169
2014-10-15,157.32,169
2014-10-16,157.32,169
2014-10-17,157.32,169
2014-10-20,157.32,170
2014-10-21,157.32,170
2014-10-22,157.32,170.5
2014-10-23,157.32,170.5
2014-10-24,157.32,170.5
2014-10-27,157.32,170.5
2014-10-28,157.32,170.5
2014-10-29,157.32,170
2014-10-30,157.32,170
2014-10-31,157.32,170
2014-11-03,157.34,170
2014-11-04,157.34,170.5
2014-11-05,157.36,170.5
2014-11-06,157.36,170.5
2014-11-07,157.36,170.5
2014-11-10,157.41,173
2014-11-11,157.41,173
2014-11-12,157.95,173.5
2014-11-13,157.95,174
2014-11-14,157.95,175
2014-11-17,158.16,176
2014-11-18,158.16,176
2014-11-19,159.99,177
2014-11-20,159.99,179
2014-11-21,159.99,179.5
2014-11-24,164.13,180
2014-11-25,164.13,182
2014-11-26,166.65,182
2014-11-27,166.65,182.5
2014-11-28,166.65,182.5
2014-12-01,169.68,183
2014-12-02,169.68,183.5
2014-12-03,169.68,186
2014-12-04,169.68,187
2014-12-05,169.68,187
2014-12-08,169.68,187.5
2014-12-09,169.68,187.5
2014-12-10,169.68,187.5
2014-12-11,169.68,188
2014-12-12,169.68,188
2014-12-15,169.68,188
2014-12-16,169.68,188
2014-12-17,169.68,188.5
2014-12-18,169.68,189
2014-12-19,169.68,189.5
2014-12-22,169.68,191.5
2014-12-23,169.68,191.5
2014-12-24,169.68,191.5
2014-12-29,169.68,191.5
2014-12-30,169.68,191.5
2014-12-31,169.68,191.5
2015-01-05,169.68,191.5
2015-01-06,169.68,192
2015-01-07,169.68,191
2015-01-08,169.68,191
2015-01-09,169.68,191
2015-01-12,169.68,191
2015-01-13,169.68,191
2015-01-14,169.68,191.5
2015-01-15,169.68,191.5
2015-01-16,169.68,192
2015-01-19,169.68,192
2015-01-20,169.68,192
2015-01-21,169.68,193
2015-01-22,169.68,193
2015-01-23,169.68,206
2015-01-26,169.68,205.5
2015-01-27,169.68,206
2015-01-28,169.68,207
2015-01-29,169.68,207
2015-01-30,169.68,207.5
2015-02-02,169.68,209.5
2015-02-03,169.68,209.5
2015-02-04,169.68,206.5
2015-02-05,169.68,206.5
2015-02-06,169.68,206.5
2015-02-09,169.68,207
2015-02-10,169.68,207
2015-02-11,169.68,207
2015-02-12,169.68,209.5
2015-02-13,169.68,209.5
2015-02-16,169.68,212
2015-02-17,169.68,212
2015-02-18,169.68,212
2015-02-19,197,217
2015-02-20,197,219.5
2015-02-23,197,220.5
2015-02-24,197,222
2015-02-25,197,222.5
2015-02-26,197,224
2015-02-27,197,224
2015-03-02,197,225
2015-03-03,197,225
2015-03-04,197,225
2015-03-05,197,225
2015-03-06,197,225
2015-03-09,197,225
2015-03-10,197,225
2015-03-11,197,224.5
2015-03-12,197,224.5
2015-03-13,197,224.5
2015-03-16,197,224.5
2015-03-17,197,224
2015-03-18,197,224
2015-03-19,197,224
2015-03-20,197,224
2015-03-23,197,223.5
2015-03-24,197,223.5
2015-03-25,197,223
2015-03-26,197,220
2015-03-27,197,217.5
2015-03-30,197,213.5
2015-03-31,197,214.5
2015-04-01,197,215.5
2015-04-02,197,203
2015-04-07,197,204
2015-04-08,197,200
2015-04-09,197,200
2015-04-10,197,205
2015-04-13,197,204
2015-04-14,197,204
2015-04-15,197,204.5
2015-04-16,197,205
2015-04-17,197,205
2015-04-20,197,214.5
2015-04-21,197,214.5
2015-04-22,197,218
2015-04-23,197,217.5
2015-04-24,197,217.5
2015-04-27,197,219
2015-04-28,197,221
2015-04-29,197,221
2015-04-30,196.95,221
2015-05-04,196.95,221
2015-05-05,196.95,220
2015-05-06,196.95,220
2015-05-07,196.95,220.5
2015-05-08,196.9,220.5
2015-05-11,196.9,220.5
2015-05-12,196.9,220.5
2015-05-13,196.9,220.5
2015-05-14,196.9,220.5
2015-05-15,196.9,220.5
2015-05-18,196.9,219.5
2015-05-19,196.9,219.5
2015-05-20,196.9,219.5
2015-05-21,196.9,219.5
2015-05-22,196.9,218.5
2015-05-25,196.9,218.5
2015-05-26,196.9,218
2015-05-27,196.9,218
2015-05-28,196.9,216
2015-06-01,196.95,215.5
