,date,CPI,monthly_change,yearly_change,12MMA
0,Jan-14,153.3,0.6,8.0,8.4
1,Feb-14,154.0,0.5,7.7,8.3
2,Mar-14,155.2,0.8,7.8,8.2
3,Apr-14,156.2,0.6,7.9,8.1
4,May-14,157.4,0.8,8.0,8.0
5,Jun-14,158.6,0.8,8.2,8.0
6,Jul-14,159.7,0.6,8.3,8.0
7,Aug-14,160.4,0.5,8.5,8.0
8,Sep-14,161.3,0.6,8.3,8.0
9,Oct-14,162.1,0.5,8.1,8.0
10,Nov-14,163.1,0.6,7.9,8.0
11,Dec-14,164.4,0.8,8.0,8.0
12,Jan-15,165.8,0.8,8.2,8.1
13,Feb-15,166.9,0.7,8.4,8.1
14,Mar-15,168.4,0.9,8.5,8.2
15,Apr-15,169.7,0.8,8.7,8.2
16,May-15,171.6,1.1,9.0,8.3
17,Jun-15,173.2,0.9,9.2,8.4
18,Jul-15,174.4,0.7,9.2,8.5
19,Aug-15,175.4,0.6,9.3,8.6
20,Sep-15,176.5,0.6,9.4,8.7
21,Oct-15,177.2,0.4,9.3,8.8
22,Nov-15,178.4,0.7,9.4,8.9
23,Dec-15,180.1,1.0,9.6,9.0
24,Jan-16,181.7,0.9,9.6,9.1
25,Feb-16,185.9,2.3,11.4,9.4
26,Mar-16,189.9,2.2,12.8,9.8
27,Apr-16,193.0,1.6,13.7,10.2
28,May-16,198.3,2.8,15.6,10.7
29,Jun-16,201.7,1.7,16.5,11.4
30,Jul-16,204.2,1.3,17.1,12.0
31,Aug-16,206.3,1.0,17.6,12.7
32,Sep-16,208.0,0.8,17.9,13.5
33,Oct-16,209.7,0.8,18.3,14.2
34,Nov-16,211.3,0.8,18.5,15.0
35,Dec-16,213.6,1.1,18.5,15.7
36,Jan-17,215.7,1.0,18.7,16.4
37,Feb-17,218.9,1.5,17.8,17.0
38,Mar-17,222.7,1.7,17.3,17.3
39,Apr-17,226.3,1.6,17.2,17.6
40,May-17,230.5,1.9,16.3,17.6
41,Jun-17,234.2,1.6,16.1,17.6
42,Jul-17,237.0,1.2,16.1,17.5
43,Aug-17,239.3,1.0,16.0,17.3
44,Sep-17,241.2,0.8,16.0,17.2
45,Oct-17,243.0,0.8,15.9,17.0
46,Nov-17,244.9,0.8,15.9,16.8
47,Dec-17,246.4,0.6,15.4,16.5
48,Jan-18,248.4,0.8,15.1,16.2
49,Feb-18,250.3,0.8,14.3,15.9
50,Mar-18,252.4,0.8,13.3,15.6
51,Apr-18,254.5,0.8,12.5,15.2
52,May-18,257.3,1.1,11.6,14.8
53,Jun-18,260.5,1.2,11.2,14.4
54,Jul-18,263.4,1.1,11.1,13.9
55,Aug-18,266.2,1.0,11.2,13.5
56,Sep-18,268.4,0.8,11.3,13.2
57,Oct-18,270.4,0.7,11.3,12.8
58,Nov-18,272.6,0.8,11.3,12.4
59,Dec-18,274.6,0.7,11.4,12.1
60,Jan-19,276.6,0.7,11.4,11.8
61,Feb-19,278.6,0.7,11.3,11.6
62,Mar-19,280.8,0.8,11.3,11.4
63,Apr-19,283.5,0.9,11.4,11.3
64,May-19,286.6,1.1,11.4,11.3
65,Jun-19,289.7,1.1,11.2,11.3
66,Jul-19,292.6,1.0,11.1,11.3
67,Aug-19,295.5,1.0,11.0,11.3
68,Sep-19,298.6,1.0,11.2,11.3
69,Oct-19,301.8,1.1,11.6,11.3
70,Nov-19,304.9,1.0,11.9,11.3
71,Dec-19,307.5,0.9,12.0,11.4
72,Jan-20,310.2,0.9,12.1,11.5
73,Feb-20,312.6,0.8,12.2,11.5
74,Mar-20,315.2,0.8,12.3,11.6
75,Apr-20,318.4,1.0,12.3,11.7
76,May-20,322.2,1.2,12.4,11.8
77,Jun-20,326.1,1.2,12.6,11.9
78,Jul-20,330.1,1.2,12.8,12.0
79,Aug-20,334.6,1.3,13.2,12.2
80,Sep-20,339.5,1.5,13.7,12.4
81,Oct-20,344.7,1.5,14.2,12.7
82,Nov-20,350.3,1.6,14.9,12.9
83,Dec-20,355.9,1.6,15.8,13.2
